canal,logo,fecha,hora,titulo,descripcion,tipo,categoria,imagen
La 1,https://www.tvguia.es/sites/default/files/logo/la-1.png,Lunes 30 de octubre,0:25 - 02:10,300,"Jerjes, emperador de Persia, trataba de conquistar Grecia. Atenas consiguió convencer a Leónidas I, rey de Esparta, para que participase en la guerra contra los persas para defender su tierra. Así, el rey Leónidas y 300 espartanos se enfrentaron a un ejército persa inmensamente superior.",Cine,Cine| Acción (+18)| USA| 2006,https://www.tvguia.es/sites/default/files/styles/200x000/public/program/300.jpg?itok=nviL8pNI
La 1,https://www.tvguia.es/sites/default/files/logo/la-1.png,Lunes 30 de octubre,2:10 - 03:55,Cocodrilo Dundee II,"Mick Dundee, un cazador de cocodrilos australiano, ve cómo su mujer, la periodista que lo descubrió, es acosada por unos gánsteres neoyorquinos. Para protegerla, Mick decide viajar con ella a Australia, hasta donde les siguen los criminales.",Cine,Cine| Aventura (apto para todos los públicos)| AUS| USA| 1988,https://www.tvguia.es/sites/default/files/styles/200x000/public/program/cocodrilo-dundee-ii.jpg?itok=DWmAP1dz
La 1,https://www.tvguia.es/sites/default/files/logo/la-1.png,Lunes 30 de octubre,3:55 - 06:00,Noticias 24 horas,"Programa que informa de la actualidad en bloques de noticias de media hora de duración que tratan temática nacional e internacional, sociedad, cultura, economía, deportes e información meteorológica.",Informativo,Informativo| Noticias (apto para todos los públicos),https://imgs.nestimg.com/casa_chalet_en_venta_en_carballo_5070018692436938291.jpg
La 1,https://www.tvguia.es/sites/default/files/logo/la-1.png,Lunes 30 de octubre,6:00 - 08:00,Telediario matinal,"Incluye El tiempo. Programa que repasa todas las noticias de interés general, nacionales, internacionales, así como deportivas.",Informativo,Informativo| Noticias (apto para todos los públicos),https://imgs.nestimg.com/casa_chalet_en_venta_en_carballo_5070018692436938291.jpg
La 1,https://www.tvguia.es/sites/default/files/logo/la-1.png,Lunes 30 de octubre,8:00 - 10:40,La hora de La 1,"Programa de análisis, debate y entrevistas, presidido por el rigor, ágil y apartado del ruido y la polarización. Durante cada entrega, se narra la actualidad de forma dinámica, entretenida y amena, con vocación de servicio público.",Magacín de actualidad,Magacín de actualidad (+16),https://imgs.nestimg.com/casa_chalet_en_venta_en_carballo_5070018692436938291.jpg
La 1,https://www.tvguia.es/sites/default/files/logo/la-1.png,Lunes 30 de octubre,10:40 - 14:00,Mañaneros,"Formato que incluye reportajes y conexiones en directo para contar historias de actualidad, con un amplio equipo de reporteros, colaboradores y protagonistas. Además, el espacio ofrece información en tiempo real desde los lugares donde suceden las noticias, con un tono ágil, distendido y cercano.",Magacín de actualidad,Magacín de actualidad (+16),https://imgs.nestimg.com/casa_chalet_en_venta_en_carballo_5070018692436938291.jpg
La 1,https://www.tvguia.es/sites/default/files/logo/la-1.png,Lunes 30 de octubre,14:00 - 14:10,Informativo territorial,Espacio dedicado a la información autonómica.,Informativo,Informativo| Noticias (apto para todos los públicos),https://imgs.nestimg.com/casa_chalet_en_venta_en_carballo_5070018692436938291.jpg
La 1,https://www.tvguia.es/sites/default/files/logo/la-1.png,Lunes 30 de octubre,14:10 - 15:00,Ahora o nunca,"Espacio que presume de la riqueza de España con el objetivo de animar a los espectadores a disfrutarla y a conservarla para garantizar que siga existiendo para las futuras generaciones. El programa realiza un viaje por el patrimonio natural, cultural, gastronómico, histórico y turístico, entre muchos otros, para encontrar a las personas que lo conocen, lo cuidan y lo mantienen vivo por sus oficios, por sus aficiones o por su forma de vida diaria.",Magacín,Magacín (apto para todos los públicos),https://www.tvguia.es/sites/default/files/styles/200x000/public/program/ahora-o-nunca.jpg?itok=WsCF8-8h
La 1,https://www.tvguia.es/sites/default/files/logo/la-1.png,Lunes 30 de octubre,15:00 - 15:50,Telediario 1,"Incluye El tiempo. Espacio dedicado a la información de actualidad nacional, internacional y deportiva.",Informativo,Informativo| Noticias (apto para todos los públicos),https://imgs.nestimg.com/casa_chalet_en_venta_en_carballo_5070018692436938291.jpg
La 1,https://www.tvguia.es/sites/default/files/logo/la-1.png,Lunes 30 de octubre,15:50 - 16:15,Informativo territorial,Espacio dedicado a la información autonómica.,Informativo,Informativo| Noticias (apto para todos los públicos),https://imgs.nestimg.com/casa_chalet_en_venta_en_carballo_5070018692436938291.jpg
